"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Nebraska,Season 2020-21,45796,5,5,5,8,0,0,0
States,Nevada,Season 2020-21,182300,0,0,16,14,0,0,0
States,New Hampshire,Season 2020-21,26568,0,0,0,0,1,0,0
States,New Jersey,Season 2020-21,1181,0,0,0,0,0,0,0
States,New Mexico,Season 2020-21,2904,5,5,0,0,6,2,0
States,New York,Season 2020-21,56557,2,2,1,7,0,0,0
States,North Carolina,Season 2020-21,16738,4,1,8,1,1,1,0
States,North Dakota,Season 2020-21,152,1,2,0,0,1,0,0
States,Ohio,Season 2020-21,896,0,1,5,3,0,0,0
States,Oklahoma,Season 2020-21,1713,0,0,1,0,0,0,0
States,Oregon,Season 2020-21,19000,0,0,0,1,1,1,0
States,Pennsylvania,Season 2020-21,98784,1,1,0,1,0,0,0
States,Rhode Island,Season 2020-21,1660,1,0,0,0,0,0,0
States,South Carolina,Season 2020-21,1233,0,0,0,0,0,0,0
States,South Dakota,Season 2020-21,917,0,0,0,1,0,0,0
States,Tennessee,Season 2020-21,289,0,0,0,1,0,0,0
States,Texas,Season 2020-21,3785,0,3,2,1,5,0,0
States,Utah,Season 2020-21,662,0,0,0,0,2,0,0
States,Vermont,Season 2020-21,608,0,0,0,0,0,0,0
States,Virginia,Season 2020-21,5010,0,0,1,0,0,0,0
States,Washington,Season 2020-21,4018,0,0,2,0,0,0,0
States,West Virginia,Season 2020-21,258,0,0,0,0,0,0,0
States,Wisconsin,Season 2020-21,3052,1,2,3,2,0,0,1
States,Wyoming,Season 2020-21,126019,0,0,59,19,2,0,0
States,Puerto Rico,Season 2020-21,206,0,0,0,0,0,0,0
States,Virgin Islands,Season 2020-21,X,X,X,X,X,X,X,X
States,New York City,Season 2020-21,X,X,X,X,X,X,X,X
States,Alabama,Season 2021-22,2014,0,0,1,0,0,0,0
States,Alaska,Season 2021-22,144,0,1,0,0,0,0,0
States,Arizona,Season 2021-22,56,0,3,0,0,4,0,0
States,Arkansas,Season 2021-22,66,0,0,0,0,0,0,0
States,California,Season 2021-22,4073,0,10,3,3,2,0,0
States,Colorado,Season 2021-22,166,0,1,1,0,0,0,0
States,Connecticut,Season 2021-22,15,0,3,0,0,0,0,0
States,Delaware,Season 2021-22,88,0,4,0,0,0,0,0
States,District of Columbia,Season 2021-22,X,X,X,X,X,X,X,X
States,Florida,Season 2021-22,1123,0,26,14,0,0,0,0
States,Georgia,Season 2021-22,239,0,3,2,0,0,0,0
States,Hawaii,Season 2021-22,114,0,1,0,0,0,0,0
States,Idaho,Season 2021-22,17,0,0,0,0,0,1,0
States,Illinois,Season 2021-22,20009,0,1,2,0,0,0,0
States,Indiana,Season 2021-22,129,0,1,1,0,0,0,0
States,Iowa,Season 2021-22,64,0,4,1,0,0,0,0
States,Kansas,Season 2021-22,5408,0,1,0,0,0,0,0
States,Kentucky,Season 2021-22,31,0,0,0,0,0,0,0
States,Louisiana,Season 2021-22,32,0,0,0,0,0,0,0
States,Maine,Season 2021-22,46,0,8,0,0,0,0,0
States,Maryland,Season 2021-22,2298,0,211,0,0,1,0,0
States,Massachusetts,Season 2021-22,46,0,9,0,0,0,0,0
States,Michigan,Season 2021-22,187,0,130,1,1,0,0,0
States,Minnesota,Season 2021-22,12,0,0,0,0,0,0,0
States,Mississippi,Season 2021-22,58,0,0,0,0,0,0,0
States,Missouri,Season 2021-22,2109,0,2,0,0,0,0,0
States,Montana,Season 2021-22,63,0,5,0,0,0,0,0
States,Nebraska,Season 2021-22,4915,0,0,0,0,0,0,0
States,Nevada,Season 2021-22,27267,0,0,3,3,0,0,0
States,New Hampshire,Season 2021-22,7725,0,1,0,0,0,0,0
States,New Jersey,Season 2021-22,75,0,1,7,2,0,0,0
States,New Mexico,Season 2021-22,320,0,0,0,0,1,1,0
States,New York,Season 2021-22,393,0,3,0,0,0,0,0
States,North Carolina,Season 2021-22,464,0,2,0,0,3,0,0
States,North Dakota,Season 2021-22,20,0,1,0,0,0,1,0
States,Ohio,Season 2021-22,72,1,5,0,0,0,0,1
States,Oklahoma,Season 2021-22,269,0,0,1,0,0,0,0
States,Oregon,Season 2021-22,291,0,0,0,0,0,0,0
States,Pennsylvania,Season 2021-22,24029,0,14,0,5,0,0,0
States,Rhode Island,Season 2021-22,47,0,23,0,0,1,0,0
States,South Carolina,Season 2021-22,176,0,5,0,0,0,0,0
States,South Dakota,Season 2021-22,446,0,0,0,0,0,0,0
States,Tennessee,Season 2021-22,28,0,1,0,0,0,0,0
States,Texas,Season 2021-22,284,0,0,1,0,0,0,0
States,Utah,Season 2021-22,77,0,1,0,0,0,0,0
States,Vermont,Season 2021-22,222,0,0,0,0,0,0,0
States,Virginia,Season 2021-22,600,0,1,0,0,0,0,0
States,Washington,Season 2021-22,2828,0,0,0,0,0,0,0
States,West Virginia,Season 2021-22,85,0,0,0,0,0,0,0
States,Wisconsin,Season 2021-22,1053,0,6,0,2,1,0,0
States,Wyoming,Season 2021-22,10698,0,13,44,2,0,0,0
States,Puerto Rico,Season 2021-22,38,0,0,0,0,0,0,0
States,Virgin Islands,Season 2021-22,X,X,X,X,X,X,X,X
States,New York City,Season 2021-22,X,X,X,X,X,X,X,X
